Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN,ECRS
01/01/2023,01:00,N,4.69,1.95,1.45,0.97,
01/01/2023,02:00,N,1.49,1.1,1.45,0.97,
01/01/2023,03:00,N,1.49,1.95,1.45,1,
01/01/2023,04:00,N,2.49,1.95,1.45,1,
01/01/2023,05:00,N,1.49,1.99,1.47,1,
01/01/2023,06:00,N,8.79,3.29,1.95,1,
01/01/2023,07:00,N,3.29,3.29,1.99,1.11,
01/01/2023,08:00,N,2.69,2.69,2,1.05,
01/01/2023,09:00,N,18.69,3,1.95,1.05,
01/01/2023,10:00,N,7.5,4.8,1.89,1.07,
01/01/2023,11:00,N,7.01,3.29,1.5,1.04,
01/01/2023,12:00,N,5.46,2.45,1.65,1.04,
01/01/2023,13:00,N,5.3,2.29,1.65,1.04,
01/01/2023,14:00,N,4.69,2.1,1.5,1.04,
01/01/2023,15:00,N,5.69,2.68,1.65,4.79,
01/01/2023,16:00,N,5.69,3.03,1.5,3.41,
01/01/2023,17:00,N,7.01,6.74,2,4.79,
01/01/2023,18:00,N,10.15,13.36,10.13,8.95,
01/01/2023,19:00,N,3.35,3.29,3.33,1.11,
01/01/2023,20:00,N,1.78,2.45,1.95,1.09,
01/01/2023,21:00,N,1.97,2.45,1.95,1.04,
01/01/2023,22:00,N,3.49,1,1.5,1.11,
01/01/2023,23:00,N,6.89,1.45,1.95,1.13,
01/01/2023,24:00,N,4.49,1.43,1.93,1.11,
01/02/2023,01:00,N,2.98,1.99,1.49,1.05,
01/02/2023,02:00,N,1.49,1.77,1.3,1.04,
01/02/2023,03:00,N,1.49,1.97,1.47,1.09,
01/02/2023,04:00,N,2.49,1.99,1.49,1.09,
01/02/2023,05:00,N,1.49,2.1,1.5,1.09,
01/02/2023,06:00,N,7.01,3.75,1.75,1.09,
01/02/2023,07:00,N,5.01,3.69,2,1.4,
01/02/2023,08:00,N,3.3,3.3,3,1.25,
01/02/2023,09:00,N,18.69,3,1.99,1.15,
01/02/2023,10:00,N,7.69,6.43,1.95,1.15,
01/02/2023,11:00,N,7.5,3.69,1.69,1.09,
01/02/2023,12:00,N,6.3,3.29,1.85,1.11,
01/02/2023,13:00,N,5.69,3.19,1.65,1.13,
01/02/2023,14:00,N,5.3,2.29,1.5,1.14,
01/02/2023,15:00,N,7,3.29,1.65,4.79,
01/02/2023,16:00,N,7.5,2.8,1.89,4.79,
01/02/2023,17:00,N,7.98,5.98,1.95,6.75,
01/02/2023,18:00,N,8.89,10.4,4.45,6.75,
01/02/2023,19:00,N,5.01,2.29,2,1.4,
01/02/2023,20:00,N,3.2,2.45,1.95,1.13,
01/02/2023,21:00,N,3.5,2.45,1.95,1.11,
01/02/2023,22:00,N,3.5,1.48,1.95,1.13,
01/02/2023,23:00,N,5.01,1,1.5,1.42,
01/02/2023,24:00,N,4.49,1,1.5,1.4,
01/03/2023,01:00,N,2.98,2,1.5,1.05,
01/03/2023,02:00,N,1.49,1.05,1.47,1.09,
01/03/2023,03:00,N,1.49,1.97,1.47,1.13,
01/03/2023,04:00,N,2.49,1.99,1.49,1.13,
01/03/2023,05:00,N,1.91,3.89,1.89,1.05,
01/03/2023,06:00,N,4.49,4.69,2.3,1.04,
01/03/2023,07:00,N,4.69,4.69,3.75,1.25,
01/03/2023,08:00,N,3.69,3.69,3.69,1.42,
01/03/2023,09:00,N,18.25,3,2,1.62,
01/03/2023,10:00,N,7.5,3.29,1.95,1.15,
01/03/2023,11:00,N,7.01,2.29,1.65,1.05,
01/03/2023,12:00,N,6.03,1.95,1.5,1.04,
01/03/2023,13:00,N,4.75,2.25,1.65,1.09,
01/03/2023,14:00,N,3.96,1.95,1.65,1.11,
01/03/2023,15:00,N,4.79,2.29,1.89,3,
01/03/2023,16:00,N,4.69,3.19,1.95,3.01,
01/03/2023,17:00,N,5.49,4.98,2,3,
01/03/2023,18:00,N,10.39,22.36,18.75,35.3,
01/03/2023,19:00,N,3.04,5.02,5.52,17.44,
01/03/2023,20:00,N,1.94,2.5,2,9.36,
01/03/2023,21:00,N,2.02,4,2,1.85,
01/03/2023,22:00,N,3.17,1.99,2,1.85,
01/03/2023,23:00,N,4.49,1.8,1.95,1.11,
01/03/2023,24:00,N,3.49,1,1.5,1.15,
01/04/2023,01:00,N,2.98,2,1.5,0.99,
01/04/2023,02:00,N,1.52,2,1.5,0.99,
01/04/2023,03:00,N,1.52,2,1.5,0.99,
01/04/2023,04:00,N,2.49,2,1.5,0.99,
01/04/2023,05:00,N,2.02,4,2,0.97,
01/04/2023,06:00,N,5.69,4.69,2.39,0.99,
01/04/2023,07:00,N,5.69,7.3,5.3,2.72,
01/04/2023,08:00,N,4.69,4.69,4.69,4.6,
01/04/2023,09:00,N,29.49,3.29,3,2.72,
01/04/2023,10:00,N,7.5,3.29,1.89,1.15,
01/04/2023,11:00,N,7.5,2.35,1.65,1.09,
01/04/2023,12:00,N,5.69,2.29,1.65,1.11,
01/04/2023,13:00,N,4.75,2.25,1.65,1.14,
01/04/2023,14:00,N,3.69,1.95,1.5,1.22,
01/04/2023,15:00,N,5,2.1,1.65,4.6,
01/04/2023,16:00,N,5.69,2.39,1.98,4.6,
01/04/2023,17:00,N,7.69,12.49,2.69,3.14,
01/04/2023,18:00,N,3.97,37.39,15.16,25.45,
01/04/2023,19:00,N,2.71,5,3.69,12.89,
01/04/2023,20:00,N,1.93,3.29,2.49,6.42,
01/04/2023,21:00,N,2.06,4.04,2,4.31,
01/04/2023,22:00,N,1.98,1.99,2,2.01,
01/04/2023,23:00,N,2.49,1.89,2.39,1.15,
01/04/2023,24:00,N,3.49,1.45,1.95,1.4,
01/05/2023,01:00,N,1.99,2.15,1.65,0.98,
01/05/2023,02:00,N,1.49,1.85,1.5,0.98,
01/05/2023,03:00,N,1.49,2,1.5,0.98,
01/05/2023,04:00,N,1.49,1.94,1.5,0.98,
01/05/2023,05:00,N,1.02,2.39,1.89,0.96,
01/05/2023,06:00,N,1.49,5.51,3,1.42,
01/05/2023,07:00,N,3.37,26.95,24.95,36.95,
01/05/2023,08:00,N,1.76,15.26,15.26,44.3,
01/05/2023,09:00,N,10.44,7.44,5.44,7.75,
01/05/2023,10:00,N,2.29,2.29,1.89,1.82,
01/05/2023,11:00,N,1.98,2.03,1.65,1,
01/05/2023,12:00,N,2.49,1.95,1.53,1.04,
01/05/2023,13:00,N,2.49,1.99,1.53,1.05,
01/05/2023,14:00,N,2.49,1.95,1.53,1.05,
